deportes;"En que año españa ganó el mundial";2008;2001;2010;2012;https://img2.rtve.es/i/?w=1600&i=1594321569902.jpg;2010
deportes;"¿Qué selección acumula mayor cantidad de expulsados en  mundiales de fútbol?";España;Argentina;Italia;Inglaterra;https://cloud.educaplay.com/recursos/143/4586506/imagen_1_1559832730.jpg;Argentina
deportes;"¿Quién inventó el arte marcial llamado Jeet Kune Do?";"David Carradine";Bruce.L;"Kato Mimoko";Ninguno;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/JKD.svg/300px-JKD.svg.png;Bruce.L
deportes;"¿En qué deporte se destaca Jonny Wilkinson?";Tenis;Baloncesto;Futbol;Rugby;https://static.posters.cz/image/750/posters/jonny-wilkinson-perfect-i1150.jpg;Rugby
ciencias;"De que color es el caballo blanco de santiago ";blanco;marron;negro;verde;http://www.mascotahogar.com/1920x1080/wallpaper-de-un-caballo-blanco.jpg;blanco
historia;"¿En qué año llegó el hombre a la Luna?";1980;2001;1969;1965;https://www.nationalgeographic.com.es/medio/2017/07/21/captura-de-pantalla-2017-07-21-a-las-112139_ec9eaee9.png;1969
Historia;"El Renacimiento marcó el inicio de la Edad...";Contemporanea;Media;Clasica;Moderna;https://enciclopediadehistoria.com/wp-content/uploads/2018/07/renacimiento.jpg;Moderna
Historia;"¿Cuántos siglos duró el Siglo de Oro?";Uno;Dos;Cinco;Tres;https://academiaplay.es/wp-content/uploads/2018/07/web-siglo-de-oro-2.jpg;Dos
Historia;"¿Para qué fue creado el plan Marshall en 1947?";Reconstruccion;Comercio;Conquista;Regalo;https://elordenmundial.com/wp-content/uploads/2020/09/bienvenido_mr_marshall_poster.png;Reconstruccion
Historia;"¿Qué modelo de Seat significó la motorización de los españoles?";1200;ibiza;leon;600;https://elretronostalgico.files.wordpress.com/2018/02/seat-ibiza-primera-generacion_1.jpg;600
